Jun Kuki,356,0,51,24,0,35.80835044,1,0,0,0,0,0,0,0,0,0,0,0.47058823529411764,0,0,0,0,0,100109
Toshiro Sakai,797,0,8,3,0,37.89185489,1,0,0,0,0,0,0,0,0,0,-3,0.375,0,0,0,0,0,100149
Kiyoski Tanabe,192,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,107518
Bill Lloyd,120,0,10,0,0,29.11430527,1,0,0,0,0,0,0,0,0,0,-10,0.0,0,0,0,0,0,100180
Ken Rosewall,15,0,79,48,175,43.24435318,1,0,0,0,0,0,0,0,0,0,0,0.6075949367088608,0,0,0,0,0,100016
Clark Graebner,120,0,5,1,188,32.24640657,1,0,0,0,0,0,0,0,0,0,-3,0.2,0,0,0,0,0,100078
Vitas Gerulaitis,126,0,353,228,183,31.60301164,1,0,0,0,0,0,0,0,0,0,-2,0.6458923512747875,0,0,0,0,0,100342
Gene Scott,133,0,1,0,185,35.95619439,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,100027
Stephen Warboys,199,0,7,2,0,22.65571526,1,0,0,0,0,0,0,0,0,0,0,0.2857142857142857,0,0,0,0,0,100317
Joaquin Loyo Mayo,129,0,16,6,0,31.21697467,1,0,0,0,0,0,0,0,0,0,0,0.375,0,0,0,0,0,100102
Pat Cramer,99,0,21,1,0,29.36892539,1,0,0,0,0,0,0,0,0,0,-11,0.047619047619047616,0,0,0,0,0,100133
Lito Alvarez,137,0,51,18,0,30.48049281,1,0,0,0,0,0,0,0,0,0,0,0.35294117647058826,0,0,0,0,0,100150
Ray Keldie,172,0,6,2,0,28.54757016,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,100111
John Yuill,188,0,61,22,0,32.60232717,1,0,0,0,0,0,0,0,0,0,-2,0.36065573770491804,0,0,0,0,0,100171
Mark Farrell,281,0,14,4,0,25.13894593,1,0,0,0,0,0,0,0,0,0,-4,0.2857142857142857,0,0,0,0,0,100305
Robert Casey C100,242,0,1,0,188,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,100859
Bernard Mitton,111,0,151,70,188,29.14715948,1,0,0,0,0,0,0,0,0,0,0,0.46357615894039733,0,0,0,0,0,100354
Robert Kreiss,115,0,9,1,0,22.14647502,1,0,0,0,0,0,0,0,0,0,-7,0.1111111111111111,0,0,0,0,0,100304
John Paish,231,0,5,0,0,35.24982888,0,0,0,0,0,0,0,0,0,0,-5,0.0,0,0,0,0,0,100045
Colin Dowdeswell,280,0,141,55,185,31.115674199999997,1,0,0,0,0,0,0,0,0,0,0,0.3900709219858156,0,0,0,0,0,100377
Rayno Seegers,285,0,6,2,0,22.258726899999996,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,100267
Jorge Andrew,831,0,43,11,0,31.17043121,1,0,0,0,0,0,0,0,0,0,-5,0.2558139534883721,0,0,0,0,0,100258
John Lloyd,38,0,225,104,178,31.51540041,1,0,0,0,0,0,0,0,0,0,0,0.4622222222222222,0,0,0,0,0,100343
Thomaz Koch,185,0,41,21,0,37.64818617,0,0,0,0,0,0,0,0,0,0,0,0.5121951219512195,0,0,0,0,0,100099
Jose Higueras,212,0,341,218,178,32.98562628,1,0,0,0,0,0,0,0,0,0,0,0.6392961876832844,0,0,0,0,0,100300
Peter Kanderal,212,0,16,7,0,28.21081451,1,0,0,0,0,0,0,0,0,0,-2,0.4375,0,0,0,0,0,100154
Roy Emerson,154,0,6,3,183,39.51540041,1,0,0,0,0,0,0,0,0,0,-2,0.5,0,0,0,0,0,100022
Patricio Rodriguez Chi,326,0,4,1,188,37.9247091,1,0,0,0,0,0,0,0,0,0,-1,0.25,0,0,0,0,0,100032
Birger Andersson,197,0,28,8,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.2857142857142857,0,0,0,0,0,106629
Hans Joachim Ploetz,74,0,21,3,0,32.31759069,1,0,0,0,0,0,0,0,0,0,-1,0.14285714285714285,0,0,0,0,0,100085
Per Jemsby,255,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,107969
Martin Mulligan,174,0,2,1,0,33.71937029,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,100050
Steve Krulevitz,210,0,109,46,175,31.59753593,1,0,0,0,0,0,0,0,0,0,-3,0.42201834862385323,0,0,0,0,0,100243
Rolf Norberg,163,0,18,6,0,24.45722108,1,0,0,0,0,0,0,0,0,0,-1,0.3333333333333333,0,0,0,0,0,100262
Belus Prajoux,473,0,73,30,170,31.45242984,1,0,0,0,0,0,0,0,0,0,-1,0.410958904109589,0,0,0,0,0,100367
Jan Hordijk,205,0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,107275
John Fort,240,0,2,0,0,24.85147159,1,0,0,0,0,0,0,0,0,0,-2,0.0,0,0,0,0,0,100188
Tom Christensen,147,0,1,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-1,0.0,0,0,0,0,0,108407
Jean Claude Barclay,265,0,4,1,0,32.42710472,1,0,0,0,0,0,0,0,0,0,-1,0.25,0,0,0,0,0,100071
Kenichi Hirai,322,0,9,2,0,27.84120465,1,0,0,0,0,0,0,0,0,0,0,0.2222222222222222,0,0,0,0,0,100206
Geza Varga,281,0,2,1,0,0.0,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,107092
Vincenzo Franchitti,322,0,4,0,0,0.0,1,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,0,0,0,108477
Dick Crealy,309,0,129,67,0,36.29842574,1,0,0,0,0,0,0,0,0,0,0,0.5193798449612403,0,0,0,0,0,100090
Frank Gebert,91,0,22,5,0,25.80971937,1,0,0,0,0,0,0,0,0,0,-4,0.22727272727272727,0,0,0,0,0,100278
Balazs Taroczy,190,0,318,192,183,32.18069815,0.5,0,0,0,0,0,0,0,0,0,3,0.6037735849056604,0,0,0,0,0,100332
Christian Kuhnke,260,0,4,0,0,35.31279945,1,0,0,0,0,0,0,0,0,0,-4,0.0,0,0,0,0,0,100034
Bob Hewitt,51,0,50,14,190,38.05065024,1,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0,100040
Erik Van Dillen,180,0,95,42,183,30.4312115,1,0,0,0,0,0,0,0,0,0,-1,0.4421052631578947,0,0,0,0,0,100231
William Brown,165,0,9,3,0,31.18412047,1,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0,0,0,0,0,100093
Alex Metreveli,47,0,57,37,0,31.77823409,0.5,0,0,0,0,0,0,0,0,0,6,0.6491228070175439,0,0,0,0,0,100092
Harold Solomon,101,0,306,177,168,33.76317591,1,0,0,0,0,0,0,0,0,0,-1,0.5784313725490197,0,0,0,0,0,100286
David Lloyd,250,0,9,2,0,30.47775496,1,0,0,0,0,0,0,0,0,0,-3,0.2222222222222222,0,0,0,0,0,100152
Dick Stockton,480,0,169,92,188,32.87063655,1,0,0,0,0,0,0,0,0,0,-3,0.5443786982248521,0,0,0,0,0,100229
Robert Lutz,494,0,122,65,180,37.47570157,1,0,0,0,0,0,0,0,0,0,0,0.5327868852459017,0,0,0,0,0,100144
Cliff Richey,92,0,80,46,175,31.06091718,1,0,0,0,0,0,0,0,0,0,0,0.575,0,0,0,0,0,100128
