Rank,Career Win %,Career Double Fault %,Career Ace %,Career Break Point Saved %,Career Won against Top 10 %,Career Won on Hard Court %,Career Won on Clay Court %,Career Ace Against %,Career First Serve Points Return Won %,Career Points Won %,Current Year Win %,Current Year Double Fault %,Current Year Ace %,Current Year Break Point Saved %,Current Year Won against Top 10 %,Current Year Won on Hard Court %,Current Year Won on Clay Court %,Current Year Ace Against %,Current Year First Serve Points Return Won %,Current Year Points Won %,Score
29,-0.166666667,-0.548778333,-8.439991639,-1.436953892,0.166666667,0.333333333,0.25,-6.50641362,-0.040815474,0.311770595,-0.107142857,1.293314367,-9.222190612,1.058141434,0,0,0,9.134962111,0.005385647,0,1
-17,-0.102880658,0.002242668,0.11801528,0.259626868,0.076923077,-0.111650485,-0.010869565,0.120787176,-0.04888916,0.005541968,-0.571428571,2.356164384,15.50684932,3.02173913,0,0,0,26.16981132,0.384925201,0,-2
35,0.031372549,-0.023021063,-0.695078782,-1.090571803,0,0.047619048,0.37037037,-1.265364612,-0.038732577,0.012606618,0.095238095,0.971014493,-39.36231884,-1.862579281,0,0,0,-24.74175824,0.07866207,0,-1
70,-0.168617895,0.018831269,0.129644485,0.224706209,-0.181050657,-0.199043634,-0.259615385,0.127942872,-0.022935475,0.005063027,-0.09986413,0.054698048,-3.805838351,-0.758509064,0,0,0,-0.659511304,0.012801786,0,-1
35,-0.104166667,-1.695576954,-25.06722211,-2.31041456,0.166666667,0.333333333,0.25,-24.57520031,-0.025732111,0.818742886,-0.020833333,1.131131131,-11.72472472,0.410813824,0,0,0,-4.419933555,0.025530694,0,-2
-12,-0.057471264,0.078225203,0.318225618,0.553103505,0.083333333,0.095238095,-0.239361702,0.366266095,0.060119537,-0.029624878,0.12254902,0.979279279,5.456756757,0.394871795,0,0,0,-12.0127907,0.011772883,0,2
-16,0.112263033,-1.744493575,-25.06554733,-2.526049313,0.145833333,0.542553191,0.581395349,-24.91834634,-0.041992428,0.817533587,0.070974576,0.676710609,-3.611424984,-0.410337362,0,0,0,-7.406627393,0.017526019,0,-1
31,-0.018719212,-0.053076606,-0.597170909,-0.48740843,0.037878788,-0.104761905,0.216634429,-0.316318805,-0.048935555,0.044321597,-0.24754902,-1.35917603,-26.68876404,0.4625,0,0,0,11.81268657,0.013129973,0,2
-42,0.118721461,0.085258464,0.731871193,0.385880399,-0.166666667,-0.020833333,0.178571429,0.619927447,0.014922793,-0.060306896,0.093537415,-0.421123251,3.86026452,-1.031758428,0,0,0,-4.216727375,-0.005309507,0,-1
-6,-0.0625,1.14679862,16.62723047,0.873460669,0,0,0,18.06878669,-0.015083363,-0.50697229,-0.086309524,0.162183236,2.502534113,0.64732761,0,0,0,13.55489567,-0.020145047,0,2
139,-0.549763033,1.596345426,-0.415934154,6.808658009,-0.145833333,-0.542553191,-0.581395349,-0.338796516,0.059308445,-1.129361544,-0.508474576,-0.824858757,-21.8700565,4.692946058,0,0,0,-17.85051546,-0.000210001,0,-1
-63,0.390804598,0.041012658,0.096033755,0.853873239,0.083333333,0.238095238,0.489361702,0.31567645,0.283195971,0.493529054,0.294117647,1.966666667,8.3,3.733333333,0,0,0,32.85,0.38280543,0,2
-136,0.40952381,0.094089264,0.693204664,1.341281669,0.045454545,0.342857143,0.272727273,0.631995254,0.332131526,0.449207457,0.541666667,3.325842697,34.98876404,3.270833333,0,0,0,21.03731343,0.369675456,0,2
41,0.083054164,-0.159923777,-0.978578477,-0.984887664,0.306122449,0.120570866,0.176809737,-1.143468613,-0.05306284,0.072707684,0.000434216,-0.721902987,0.149402081,0.713077109,0,0,0,6.290232358,-0.03281354,0,-2
26,-0.133333333,-0.283192446,-1.084668432,-0.708407871,0.166666667,-0.083333333,-0.25,-0.678321264,-0.015224638,0.14384292,-0.083333333,1.131552007,6.256756757,0.503205128,0,0,0,6.854908417,0.022187248,0,2
34,-0.111111111,-0.608782745,-7.542404322,-1.395654774,0,0.25,0,-6.138769388,-0.030297789,0.305881686,-0.023809524,-1.005572755,20.31517028,-0.541761807,0,0,0,3.323393835,-4.17E-05,0,-1
22,0.030311159,-1.758619513,-25.24261855,-2.884855419,0.064516129,0.448275862,0.476190476,-25.04151343,-0.064309259,0.82174844,0.088815789,1.158158158,-6.751751752,-0.710812357,0,0,0,-7.858705357,0.012171722,0,-2
